"item_code","category_code","item_name","fkko_code","hazard_class"
"89000003214","OSSG","отходы щебня, загрязненного нефтепродуктами, при ремонте, замене щебеночного покрытия (содержание нефтепродуктов менее 15%)","89000003214","5"
"89001111725","OSSG","мусор от строительных и ремонтных работ, содержащий материалы, изделия, отходы которых отнесены к V классу опасности","89001111725","5"
"89003121724","OSSG","отходы строительных материалов на основе полипропилена, стекловолокна и целлюлозы в смеси при строительных и ремонтных работах","89003121724","5"
"89100000000","OSSG","Отходы инструментов, загрязненных при строительных и ремонтных работах","89100000000","5"
"89110000000","OSSG","Инструменты, загрязненные штукатурными, лакокрасочными материалами","89110000000","5"
"89111000000","OSSG","Инструменты лакокрасочные загрязненные","89111000000","5"
"89111001523","OSSG","инструменты лакокрасочные (кисти, валики), загрязненные лакокрасочными материалами (в количестве 5% и более)","89111001523","5"
"89111002524","OSSG","инструменты лакокрасочные (кисти, валики), загрязненные лакокрасочными материалами (в количестве менее 5%)","89111002524","5"
"89111111524","OSSG","пневмораспылители, отработанные при окрасочных работах (содержание лакокрасочных материалов менее 5%)","89111111524","5"
"89112000000","OSSG","Инструменты для кладочных, штукатурных работ загрязненные","89112000000","5"
"89112001524","OSSG","шпатели отработанные, загрязненные штукатурными материалами","89112001524","5"
"89200000000","OSSG","Обтирочный материал, загрязненный при строительных и ремонтных работах","89200000000","5"
"89201000000","OSSG","Обтирочный материал, загрязненный лакокрасочными материалами на основе сложных полиэфиров","89201000000","5"
"89201101604","OSSG","обтирочный материал, загрязненный лакокрасочными материалами на основе алкидных смол","89201101604","5"
"89211000000","OSSG","Обтирочный материал, загрязненный прочими лакокрасочными материалами","89211000000","5"
"89211001603","OSSG","обтирочный материал, загрязненный лакокрасочными материалами (в количестве 5% и более)","89211001603","5"
"89211002604","OSSG","обтирочный материал, загрязненный лакокрасочными материалами (в количестве менее 5%)","89211002604","5"
"89321111423","OSSG","пыль шлифовки загрунтованных поверхностей, содержащая алкидные, меламиновые смолы","89321111423","5"
